;;FR Base FR Base;FR Base FR Base;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;
Date;Nature relève;Consommation (kWh);Index;Consommation (kWh);Index;;;;;;;;;;;;;;
01-08-2025;evt réelle;;;5;8 295;;;;;;;;;;;;;;
02-08-2025;estimée;;;5;8 300;;;;;;;;;;;;;;
03-08-2025;evt réelle;;;4;8 305;;;;;;;;;;;;;;
04-08-2025;estimée;;;3;8 309;;;;;;;;;;;;;;
05-08-2025;evt réelle;;;6;8 312;;;;;;;;;;;;;;
06-08-2025;evt réelle;;;5;8 318;;;;;;;;;;;;;;
07-08-2025;evt réelle;;;4;8 323;;;;;;;;;;;;;;
08-08-2025;evt réelle;;;5;8 327;;;;;;;;;;;;;;
09-08-2025;evt réelle;;;4;8 332;;;;;;;;;;;;;;
10-08-2025;evt réelle;;;4;8 336;;;;;;;;;;;;;;
11-08-2025;estimée;;;5;8 340;;;;;;;;;;;;;;
12-08-2025;estimée;;;3;8 345;;;;;;;;;;;;;;
13-08-2025;evt réelle;;;5;8 348;;;;;;;;;;;;;;
14-08-2025;evt réelle;;;4;8 353;;;;;;;;;;;;;;
15-08-2025;evt réelle;;;6;8 357;;;;;;;;;;;;;;
16-08-2025;evt réelle;;;7;8 363;;;;;;;;;;;;;;
17-08-2025;evt réelle;;;9;8 370;;;;;;;;;;;;;;
18-08-2025;evt réelle;;;4;8 379;;;;;;;;;;;;;;
19-08-2025;estimée;;;3;8 383;;;;;;;;;;;;;;
20-08-2025;evt réelle;;;5;8 386;;;;;;;;;;;;;;
21-08-2025;evt réelle;;;5;8 391;;;;;;;;;;;;;;
22-08-2025;estimée;;;4;8 396;;;;;;;;;;;;;;
23-08-2025;estimée;;;8;8 400;;;;;;;;;;;;;;
24-08-2025;evt réelle;;;5;8 408;;;;;;;;;;;;;;
25-08-2025;evt réelle;;;7;8 413;;;;;;;;;;;;;;
26-08-2025;evt réelle;;;8;8 420;;;;;;;;;;;;;;
27-08-2025;estimée;;;5;8 428;;;;;;;;;;;;;;
28-08-2025;estimée;;;4;8 433;;;;;;;;;;;;;;
